"","Observed","Shannon","Simpson","InvSimpson","Sample","ShortID","Index","Dilution","SampleGroup_letter","OriginalSample","LIbraryType","Kit","InputDNA","SampleGroup","Raw_reads","AMR_hits","Type"
"A_H21",409,4.06764986836963,0.963746489875724,27.5835359547817,"A_H21","A_H21","G02","Standard","H","HBHw1","XT_HS","XT HS","800ng","Human wastewater",26384858,571726,"TE"
"A_H22",399,4.08782838701254,0.964523915508704,28.1880036745694,"A_H22","A_H22","H02","Standard","H","HBHw2","XT_HS","XT HS","800ng","Human wastewater",22794458,569493,"TE"
"A_H23",409,4.12951569058376,0.965792148033519,29.233054474741,"A_H23","A_H23","A03","Standard","H","HBHw3","XT_HS","XT HS","800ng","Human wastewater",24321730,584264,"TE"
"A_H24",397,4.15017913600833,0.965484850184897,28.9727845701661,"A_H24","A_H24","B03","Standard","H","HBHw4","XT_HS","XT HS","800ng","Human wastewater",25831421,565116,"TE"
"A_H2",415,4.14704101412865,0.967364738472865,30.641703274495,"A_H2","A_H2","B03","Standard","H","HBHw2","XT","XT","200ng","Human wastewater",31603031,450470,"TE"
"A_H3",400,4.17203678475225,0.968159655150171,31.4066950190512,"A_H3","A_H3","D03","Standard","H","HBHw3","XT","XT","200ng","Human wastewater",32341873,439131,"TE"
"A_H4",381,4.21032314514044,0.969041621818985,32.3014336911632,"A_H4","A_H4","A04","Standard","H","HBHw4","XT","XT","200ng","Human wastewater",26429444,340853,"TE"
"A_H5",457,4.18411139674348,0.966889714306416,30.2020951813706,"A_H5","A_H5","A07","Standard","H","HBHw1","XT","XT","400ng","Human wastewater",30404299,599836,"TE"
"A_H6",463,4.17544891242936,0.966164794579804,29.5550148899969,"A_H6","A_H6","D07","Standard","H","HBHw2","XT","XT","400ng","Human wastewater",34862846,622430,"TE"
"A_H7",429,4.22105453559668,0.969429970154622,32.711777026649,"A_H7","A_H7","G07","1:2 dilution","H","HBHw3","XT","XT","400ng","Human wastewater",31171489,442359,"TE"
"A_H8",425,4.20287045826439,0.968285733100134,31.5315502375439,"A_H8","A_H8","H07","Standard","H","HBHw4","XT","XT","400ng","Human wastewater",29442422,486154,"TE"
"A_H9",488,4.23433518277175,0.967176923553841,30.4663702575332,"A_H9","A_H9","G09","Standard","H","HBHw1","XT","XT","800ng","Human wastewater",37522426,687034,"TE"
"A_P10",376,4.76532859755247,0.977304090630395,44.0608033683473,"A_P10","A_P10","D09","1:5 dilution","P","PFe16","XT","XT","800ng","Porcine fecal",28508540,1274330,"TE"
"A_P11",372,4.68716150236454,0.972229742104991,36.0097484071156,"A_P11","A_P11","E09","1:3 dilution","P","PFe22","XT","XT","800ng","Porcine fecal",31899139,1194077,"TE"
"A_P12",368,4.70627055750337,0.973698366677189,38.0204524839418,"A_P12","A_P12","F09","1:5 dilution","P","PFe37","XT","XT","800ng","Porcine fecal",28207352,1235865,"TE"
"A_P13",341,4.65564923720314,0.971610529663374,35.2243274757362,"A_P13","A_P13","A02","1:2 dilution","P","PFe13","XT_HS","XT HS","200ng","Porcine fecal",28411743,1036439,"TE"
"A_P14",346,4.69713733434887,0.975402595162825,40.6546953477249,"A_P14","A_P14","B02","Standard","P","PFe16","XT_HS","XT HS","200ng","Porcine fecal",40597737,1208035,"TE"
"A_P15",347,4.62347036037398,0.970187975621859,33.5435120847821,"A_P15","A_P15","C02","Standard","P","PFe22","XT_HS","XT HS","200ng","Porcine fecal",36517449,1111351,"TE"
"A_P16",347,4.65960719197034,0.972969971333301,36.9958912116136,"A_P16","A_P16","D02","Standard","P","PFe37","XT_HS","XT HS","200ng","Porcine fecal",35509742,1204768,"TE"
"A_P17",349,4.6648554785215,0.972841454477978,36.8208230882297,"A_P17","A_P17","A04","Standard","P","PFe13","XT_HS","XT HS","400ng","Porcine fecal",35612363,1097443,"TE"
"A_P18",340,4.71027618456682,0.975742358968578,41.2241239246897,"A_P18","A_P18","B04","1:2 dilution","P","PFe16","XT_HS","XT HS","400ng","Porcine fecal",32060417,1173779,"TE"
"A_P19",352,4.62648779884599,0.970235591865162,33.5971740297945,"A_P19","A_P19","C04","Standard","P","PFe22","XT_HS","XT HS","400ng","Porcine fecal",32506145,1098663,"TE"
"A_P1",353,4.64015666489581,0.97068816765659,34.1159156576861,"A_P1","A_P1","D02","1:3 dilution","P","PFe13","XT","XT","200ng","Porcine fecal",28241930,1036079,"TE"
"A_P20",356,4.66671972883082,0.97341519486962,37.6154722630351,"A_P20","A_P20","F04","Standard","P","PFe37","XT_HS","XT HS","400ng","Porcine fecal",36267990,1226136,"TE"
"A_P21",327,4.61909622100276,0.970100132234902,33.4449639662723,"A_P21","A_P21","C02","Standard","P","PFe13","XT_HS","XT HS","800ng","Porcine fecal",25725436,955238,"TE"
"A_P22",329,4.72067652264701,0.975721289993116,41.1883497812066,"A_P22","A_P22","D02","1:2 dilution","P","PFe16","XT_HS","XT HS","800ng","Porcine fecal",22877683,1084744,"TE"
"A_P23",347,4.64176397975266,0.971077637191309,34.5753217541235,"A_P23","A_P23","E02","Standard","P","PFe22","XT_HS","XT HS","800ng","Porcine fecal",34719783,1091941,"TE"
"A_P24",347,4.67280419605786,0.973847865721078,38.2377969359831,"A_P24","A_P24","F02","Standard","P","PFe37","XT_HS","XT HS","800ng","Porcine fecal",32034799,1207804,"TE"
"A_P2",362,4.7266112143113,0.975986881012366,41.6439030895974,"A_P2","A_P2","E02","1:4 dilution","P","PFe16","XT","XT","200ng","Porcine fecal",27738161,1194100,"TE"
"A_P3",356,4.5906768581509,0.968341740170747,31.5873331444442,"A_P3","A_P3","G02","1:4 dilution","P","PFe22","XT","XT","200ng","Porcine fecal",25263146,1040759,"TE"
