gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425656,SRR4425684,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_2800|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,0,26.0,0,0,0,327.0,0,0,787.0,0,0,99.0,8.0
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,12232.0,16041.0,2149.0,32545.0,92109.0,40851.0,5039.0,5551.0,139679.0,62605.0,64985.0,145529.0,5564.0,50536.0,213763.0,84869.0
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,0,0,0,169.0,420.0,37.0,0,0,490.0,211.0,200.0,198.0,0,0,1120.0,301.0
MEG_3513|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN,0,0,0,64.0,120.0,0,0,0,148.0,85.0,68.0,77.0,0,0,339.0,90.0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1597.0,2033.0,625.0,2561.0,5574.0,4734.0,1475.0,1567.0,7068.0,6371.0,6703.0,7968.0,1476.0,6024.0,8852.0,8133.0
MEG_7157|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,87.0,120.0,0,130.0,109.0,355.0,0,0,0,455.0,425.0,37.0,0,356.0,0,520.0
MEG_3756|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI,0,0,0,43.0,57.0,8.0,0,0,86.0,38.0,39.0,39.0,0,0,203.0,90.0
MEG_7210|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,81.0,83.0,0,383.0,442.0,361.0,0,0,348.0,776.0,594.0,1147.0,0,302.0,1267.0,793.0
MEG_1009|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,1282.0,0,0,673.0,2690.0,0,0,2700.0,0,0,1169.0,0
