gene_accession,SRR4425689,SRR4425695,SRR4425691,SRR4425688,SRR4425683,SRR4425684,SRR4425690,SRR4425694,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_3886|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR1,0.0,14.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,31.0,14.0,0.0,0.0,0.0,24.0,0.0
MEG_7177|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0.0,599.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,1067.0,1270.0,0.0,0.0,63.0,0.0,1246.0
MEG_2797|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,242.0,0.0,0.0,213.0,523.0,0.0,0.0,0.0,473.0,559.0,577.0,0.0,0.0,455.0,670.0
MEG_6159|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,138.0
MEG_7185|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,0.0,58.0,0.0,0.0,17.0,15.0,22.0,0.0,0.0,142.0,53.0,18.0,0.0,9.0,60.0,422.0
MEG_3758|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,0.0,55.0,0.0,0.0,101.0,160.0,0.0,0.0,0.0,55.0,78.0,56.0,0.0,0.0,345.0,136.0
MEG_7864|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS,0.0,150.0,0.0,0.0,405.0,435.0,32.0,0.0,0.0,192.0,181.0,159.0,0.0,0.0,1123.0,262.0
MEG_1153|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7046|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0
MEG_6113|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_1637|Drugs|betalactams|Class_A_betalactamases|CBLA,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
MEG_3837|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0
MEG_8691|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALE,0.0,0.0,0.0,0.0,45.0,49.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,100.0,0.0
