gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425684,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,0,15.0,0,91.0,187.0,17.0,0,252.0,0,122.0,86.0,95.0,0,0,471.0,162.0
MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,0,0,0,81.0,148.0,0,0,183.0,0,68.0,64.0,61.0,0,0,367.0,113.0
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,911.0,1069.0,0,1816.0,103.0,1775.0,18.0,0,0,2217.0,2127.0,29.0,24.0,1688.0,124.0,2176.0
MEG_924|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,12.0,0,0,0,32.0,0,0,0,0
MEG_7067|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,0,0
MEG_2685|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,19.0,12.0
MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2,0,0,0,189.0,418.0,30.0,0,538.0,0,262.0,264.0,246.0,0,0,1037.0,333.0
MEG_7630|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,0,0,0,0,15.0,0,0,113.0,0,0,0,199.0,0,0,52.0,0
MEG_8678|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation,0,30.0,0,61.0,125.0,48.0,0,128.0,0,80.0,66.0,54.0,0,0,287.0,110.0
MEG_3602|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,0,0,0,0,49.0,0,0,30.0,0,0,0,56.0,0,0,41.0,0
MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,236.0,0,0,333.0,0,0,0,329.0,0,0,358.0,0
MEG_2831|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,0,0,0,0,0,41.0,13.0,0,0,48.0,43.0,0,0,41.0,0,124.0
MEG_2045|Metals|Copper_resistance|Copper_resistance_protein|COPC,0,0,0,0,0,0,24.0,0,25.0,0,0,0,24.0,0,0,0
MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,0,0,0,371.0,660.0,0,0,739.0,0,331.0,316.0,309.0,0,0,1666.0,508.0
MEG_6604|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,23.0,0,0,0,23.0,0,0,10.0,0
MEG_2692|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,0,12.0,0,45.0,106.0,0,0,162.0,0,64.0,45.0,54.0,0,7.0,302.0,109.0
MEG_5425|Metals|Copper_resistance|Copper_resistance_regulator|PCOS,0,0,0,0,176.0,0,0,89.0,0,108.0,87.0,41.0,0,0,407.0,123.0
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,1360.0,0,0,1860.0,0,0,0,1839.0,0,0,1258.0,0
MEG_4075|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRE,0,0,20.0,0,0,0,50.0,0,51.0,0,0,0,56.0,0,0,0
MEG_1488|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADX,0,0,0,87.0,359.0,0,0,158.0,6.0,148.0,172.0,197.0,9.0,0,536.0,311.0
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,18.0,22.0,0,147.0,291.0,30.0,0,340.0,0,150.0,159.0,180.0,0,36.0,635.0,206.0
MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA,0,23.0,0,100.0,250.0,0,0,287.0,0,127.0,138.0,103.0,0,0,563.0,167.0
MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0,128.0,0,310.0,0,314.0,0,0,0,773.0,745.0,0,0,264.0,98.0,872.0
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,0,0,0,395.0,803.0,59.0,0,971.0,0,426.0,428.0,369.0,0,0,1960.0,586.0
MEG_1082|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,0,0,0,0,23.0,0,0,50.0,0,0,0,38.0,0,0,24.0,0
MEG_2680|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0,0,0,0,15.0,0,0,10.0,0,0,0,0,0,0,0,0
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,0,0,0,105.0,129.0,19.0,0,175.0,0,74.0,106.0,97.0,0,0,416.0,139.0
MEG_4177|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,0,0,0,54.0,83.0,16.0,0,145.0,0,55.0,60.0,66.0,0,0,248.0,78.0
MEG_1018|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,0,0,354.0,0,0,26.0,0,0,0,92.0,0,0,101.0,0
MEG_4029|Drugs|MLS|Macrolide_phosphotransferases|MPHA,0,0,0,0,0,0,12.0,0,18.0,0,0,0,0,0,0,0
MEG_5842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,11.0
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,12.0,0,0,232.0,344.0,27.0,0,405.0,0,215.0,145.0,161.0,0,0,899.0,283.0
MEG_1240|Drugs|betalactams|Class_A_betalactamases|BLAA,0,0,0,0,0,0,26.0,0,22.0,0,0,0,18.0,0,0,0
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.0
MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,371.0,0,385.0,0,461.0,476.0,443.0,0,0,467.0,480.0,0,378.0,0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,204.0,279.0,0,313.0,1062.0,421.0,0,80.0,0,825.0,579.0,660.0,0,622.0,469.0,1152.0
MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,0,0,0,94.0,219.0,0,0,224.0,0,150.0,139.0,127.0,0,0,642.0,225.0
MEG_2455|Metals|Copper_resistance|Copper_resistance_protein|CUTC,0,0,0,34.0,62.0,0,0,64.0,0,40.0,30.0,0,0,0,173.0,65.0
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,0,0,0,53.0,141.0,0,0,74.0,0,109.0,122.0,100.0,0,0,413.0,155.0
MEG_7176|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,59.0,89.0,0,340.0,328.0,218.0,0,0,0,880.0,850.0,111.0,0,199.0,144.0,883.0
MEG_2576|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,0,0,0,0,12.0,0,0,54.0,0,0,0,31.0,0,0,20.0,0
MEG_2820|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0,0,0,0,93.0,0,0,103.0,0,0,0,125.0,0,0,154.0,0
MEG_3603|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,0,0,0,0,28.0,0,0,25.0,0,0,0,32.0,0,0,31.0,0
MEG_6998|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,539.0,486.0,0,827.0,486.0,1364.0,0,138.0,0,2047.0,2319.0,236.0,0,1456.0,415.0,2131.0
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,0,0,0,37.0,79.0,0,0,102.0,0,58.0,46.0,52.0,0,0,217.0,89.0
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,1516.0,0,386.0,2029.0,408.0,0,0,1999.0,409.0,0,1514.0,0
MEG_4038|Drugs|MLS|Macrolide_phosphotransferases|MPHC,0,0,0,0,11.0,0,0,0,0,0,0,19.0,0,0,17.0,0
MEG_7118|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0,0,151.0,0,0,122.0,0,0,0,141.0,0,0,320.0,0
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,244.0,187.0,0,745.0,744.0,485.0,23.0,514.0,44.0,900.0,888.0,342.0,31.0,552.0,839.0,901.0
MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,0,0,0,39.0,121.0,12.0,0,129.0,0,54.0,67.0,58.0,0,0,311.0,90.0
MEG_7811|Metals|Iron_resistance|Iron_resistance_protein|YBTP,0,0,0,0,0,0,0,65.0,0,0,0,42.0,0,0,168.0,0
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,242.0,646.0,0,0,533.0,0,477.0,307.0,290.0,0,0,1835.0,690.0
MEG_2807|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,80.0,247.0,0,0,432.0,0,156.0,205.0,554.0,0,0,335.0,205.0
MEG_6611|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,35.0,0,0,0,25.0,0,0,0,0
MEG_961|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0
MEG_6047|Drugs|Rifampin|RNA-polymerase_binding_protein|RBPA,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0
MEG_5214|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0
MEG_3231|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,558.0,0,0,0,797.0,0,733.0,0,0,0,959.0,0,0,0
