SampleID,Type,Dilution,Kit,InputDNA,SampleGroup,Raw_reads,AMR_hits,Observed,Shannon,Simpson,InvSimpson
A_P8,TE,1:5 dilution,XT,400ng,Porcine fecal,37097903,1236983,369,4.691883915,0.973053465,37.11052244
A_P9,TE,1:3 dilution,XT,800ng,Porcine fecal,28579193,1230056,367,4.746579457,0.975887915,41.47297963
PT019D1T0,TE,Standard,XT HS,200ng,Canine fecal,24382527,328862,162,2.185340709,0.800545316,5.013670166
PT019D1T0B,TE,Standard,XT HS,50ng,Canine fecal,18379864,325933,168,2.18339027,0.79910493,4.977722951
PT024D1T0,TE,Standard,XT HS,200ng,Canine fecal,21666303,358685,245,3.093812852,0.876591581,8.103174843
PT024D1T0B,TE,Standard,XT HS,50ng,Canine fecal,33957093,413456,246,3.220947863,0.886461917,8.807617461
PT046D1T0,TE,Standard,XT HS,200ng,Canine fecal,84553202,345982,241,2.718227692,0.852005261,6.756996952
PT046D1T0B,TE,Standard,XT HS,50ng,Canine fecal,44919975,310410,228,2.636708441,0.845446412,6.470247706
PT050D1T0,TE,Standard,XT HS,200ng,Canine fecal,36606920,233147,187,2.621146831,0.851689812,6.742625115
PT050D1T0B,TE,Standard,XT HS,50ng,Canine fecal,32188586,220376,182,2.561186003,0.846412903,6.510963595
UK008D1T0,TE,Standard,XT HS,200ng,Canine fecal,25304040,512029,216,4.619849817,0.977372601,44.19420937
UK008D1T0B,TE,Standard,XT HS,50ng,Canine fecal,30567118,620260,232,4.524880522,0.973637409,37.93253844
UK014D1T0,TE,Standard,XT HS,200ng,Canine fecal,34310877,350177,216,3.96774468,0.92506323,13.34458369
UK014D1T0B,TE,Standard,XT HS,50ng,Canine fecal,33612333,368521,212,3.979053237,0.9262844,13.56564957
UK036D1T0,TE,Standard,XT HS,200ng,Canine fecal,22254608,140145,187,2.3293033,0.758663881,4.143598578
UK036D1T0B,TE,Standard,XT HS,50ng,Canine fecal,15250467,127467,178,2.192154162,0.733064008,3.746216428
UK047D1T0,TE,Standard,XT HS,200ng,Canine fecal,27834028,273512,228,3.3370582,0.869558847,7.666292271
UK047D1T0B,TE,Standard,XT HS,50ng,Canine fecal,22841496,251019,225,3.199030169,0.856824175,6.984419312
SRR4425656,Shotgun,Shotgun,Shotgun,Shotgun,Human wastewater,18970282,16723,55,2.535003116,0.81741701,5.476961454
SRR4425681,Shotgun,Shotgun,Shotgun,Shotgun,Porcine fecal,21295142,131073,244,3.640430714,0.928060205,13.90051217
SRR4425682,Shotgun,Shotgun,Shotgun,Shotgun,Porcine fecal,27649062,162704,247,3.845504497,0.937923955,16.1092736
SRR4425683,Shotgun,Shotgun,Shotgun,Shotgun,Avian fecal,18192702,108697,283,4.759667272,0.980291693,50.74002668
SRR4425684,Shotgun,Shotgun,Shotgun,Shotgun,Avian fecal,19906366,104853,278,4.833259048,0.983022308,58.90082204
SRR4425685,Shotgun,Shotgun,Shotgun,Shotgun,Avian fecal,22447474,93388,279,4.374704085,0.968514895,31.76104997
SRR4425686,Shotgun,Shotgun,Shotgun,Shotgun,Avian fecal,23916121,195384,286,5.069370249,0.989172097,92.35398826
SRR4425687,Shotgun,Shotgun,Shotgun,Shotgun,Bovine fecal,23669498,59740,64,2.729952709,0.892311501,9.286042675
SRR4425688,Shotgun,Shotgun,Shotgun,Shotgun,Bovine fecal,7293175,24185,77,2.649449757,0.879626308,8.307463035
SRR4425689,Shotgun,Shotgun,Shotgun,Shotgun,Bovine fecal,7093810,21515,51,2.469189261,0.865218482,7.41941489
SRR4425690,Shotgun,Shotgun,Shotgun,Shotgun,Bovine fecal,20037290,58169,143,2.804684643,0.887151631,8.861448382
SRR4425691,Shotgun,Shotgun,Shotgun,Shotgun,Human wastewater,8428949,6642,38,2.32474767,0.785364657,4.659064929
SRR4425692,Shotgun,Shotgun,Shotgun,Shotgun,Human wastewater,21502479,19034,63,2.482869038,0.803541969,5.090145696
SRR4425694,Shotgun,Shotgun,Shotgun,Shotgun,Human wastewater,18730950,16815,60,2.46721046,0.804649488,5.119003743
SRR4425695,Shotgun,Shotgun,Shotgun,Shotgun,Porcine fecal,8606112,74725,220,3.8150703,0.937855324,16.09148292
SRR4425696,Shotgun,Shotgun,Shotgun,Shotgun,Porcine fecal,20624405,132504,247,3.618251975,0.920812941,12.62832601
